date,uvi,uva,uvb,oral_intake_ug,skin_area_pct
2024-01-01,1.2,2800,22,25,8
2024-01-02,0.8,2100,18,25,8
2024-01-03,0.5,1900,12,0,8
2024-01-04,1.1,2500,20,25,8
2024-01-05,1.3,2700,24,25,8
2024-01-06,0.3,1200,8,0,8
2024-01-07,0.4,1300,9,0,8
2024-01-08,1.0,2300,19,25,8
2024-01-09,1.2,2600,21,25,8
2024-01-10,1.4,2900,25,25,8
2024-02-01,2.1,3500,40,25,8
2024-02-15,3.0,4200,55,25,8
2024-03-01,4.2,5100,72,25,15
2024-03-15,5.0,5800,88,25,15
2024-04-01,6.1,6400,102,25,15
2024-04-15,7.2,7100,118,0,15
2024-05-01,8.0,7800,130,0,20
2024-05-15,8.5,8100,138,0,20
2024-06-01,9.2,8600,148,0,30
2024-06-15,9.8,8900,155,0,30
2024-07-01,9.5,8700,152,0,30
2024-07-15,9.1,8500,146,0,30
2024-08-01,8.3,8000,134,0,30
2024-08-15,7.8,7500,126,0,20
2024-09-01,6.5,6700,107,0,15
2024-09-15,5.8,6100,95,25,15
2024-10-01,4.2,5200,70,25,8
2024-10-15,3.5,4600,60,25,8
2024-11-01,2.1,3600,38,25,8
2024-11-15,1.5,3000,28,25,8
2024-12-01,1.0,2400,18,25,8
2024-12-15,0.8,2100,14,25,8
2024-12-31,0.7,1900,12,25,8
